resturaunt,Title_link,top_review,description_1,num_reviews,lemon--li__373c0__1r9wz5,street_address,phone,food_type,description_2,extras,price,Headline,Mon_hrs,Tues_hrs,Wed_hrs,Thu_hrs,Fri_hrs,Sat_hrs,Sun_hrs,Field1,Field1_link,Headline1,full_address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
La Morra,https://www.yelp.com/biz/la-morra-brookline,“This was a lovely dinner. We had the 4 course tasting menu.  After reading reviews it was unsure what we were to expect: a facility that had some highs and…” read more,Italian,312 reviews,https://www.yelp.com/biz/la-morra-brookline?hrid=irQoTvsIiDJaMOgLeEi1Jg,48 Boylston St,(617) 739-0007,,,Offers takeout and delivery,$$$,La Morra,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.331217%2C-71.118788&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.331217%2C-71.118788&client=gme-yelp&sensor=false&size=315x150&signature=JqcPuevUsKje_88l4hKPYoTxjHY=,https://www.yelp.com/map/la-morra-brookline,La Morra,"48 Boylston St, Brookline, MA 02445",42.331232,-71.118773,1,rooftop,48,Boylston St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Athan’s Bakery,https://www.yelp.com/biz/athans-bakery-brookline,"“This is without a doubt my favorite bakery in Boston. Their almond croissants are truly magical. There tarts, torts, cakes, gelato, and handmade chocolates…” read more","Bakeries,",416 reviews,https://www.yelp.com/biz/athans-bakery-brookline?hrid=S4dhgNFk4XK4HITijQY_iA,1621 Beacon St,(617) 734-7028,Cafes,"Desserts,",,$$,Athan's Bakery,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 12:00 am,8:00 am - 12:00 am,8:00 am - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339186%2C-71.134816&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339186%2C-71.134816&client=gme-yelp&sensor=false&size=315x150&signature=iNJZZJaerVY_heNDYUpBfj9eGKo=,https://www.yelp.com/map/athans-bakery-brookline,Athan’s Bakery,"1621 Beacon St, Brookline, MA 02446",42.339189,-71.134798,1,rooftop,1621,Beacon St,Brookline,MA,Norfolk County,2446,US,City of Brookline
La Voile Brookline,https://www.yelp.com/biz/la-voile-brookline-brookline-3,"“Excellent service. Food was also very good, but I don't think I will return. At this price point, there are several other French restaurants in the city that I…” read more",French,95 reviews,https://www.yelp.com/biz/la-voile-brookline-brookline-3?hrid=FnlwM8SDKIIUmAKK7s2JaA,1627 Beacon St,(617) 277-1260,,,,$$$,La Voile Brookline,5:00 pm - 9:30 pm,"12:00 pm - 2:30 pm,5:00 pm - 9:30 pm","12:00 pm - 2:30 pm,5:00 pm - 9:30 pm","12:00 pm - 2:30 pm,5:00 pm - 9:30 pm","12:00 pm - 2:30 pm,5:00 pm - 9:30 pm","12:00 pm - 2:30 pm,5:00 pm - 9:30 pm","12:00 pm - 2:30 pm,5:00 pm - 9:30 pm",https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339052%2C-71.135368&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339052%2C-71.135368&client=gme-yelp&sensor=false&size=315x150&signature=s_sNXb5KCt6eSOUCGvbq_Iiz_6w=,https://www.yelp.com/map/la-voile-brookline-brookline-3,La Voile Brookline,"1627 Beacon St, Brookline, MA 02445",42.339043,-71.135359,1,rooftop,1627,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
The Washington Square Tavern,https://www.yelp.com/biz/the-washington-square-tavern-brookline,"“We went to have dinner to WST yesterday. The food was just A.M.A.Z.I.N.G.
I didn't expect such gourmet food for a locally owned tavern.
The drinks and the food…” read more","Bars,",309 reviews,https://www.yelp.com/biz/the-washington-square-tavern-brookline?hrid=CgYt_e7rHruN-ACjKqrqYQ,714 Washington St,(617) 232-8989,,American (Traditional),,$$,The Washington Square Tavern,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,5:00 pm - 2:00 am,11:00 am - 2:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339123%2C-71.135212&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339123%2C-71.135212&client=gme-yelp&sensor=false&size=315x150&signature=iCtLdgwRAEkgkSIPvB0d-U0lVHM=,https://www.yelp.com/map/the-washington-square-tavern-brookline,The Washington Square Tavern,"714 Washington St, Brookline, MA 02445",42.338977,-71.135054,1,rooftop,714,Washington St,Brookline,MA,Norfolk County,2445,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Kung Fu Tea,https://www.yelp.com/biz/kung-fu-tea-brighton,“My favourite thing about this location when I lived in Cleveland Circle was there was never anyone inside to make you wait longer than you wanted to for bubble…” read more,"Coffee & Tea,",70 reviews,https://www.yelp.com/biz/kung-fu-tea-brighton?hrid=1vu2REXH7RpnKA2TXeKhGA,1916 Beacon St,(617) 232-1323,Juice Bars & Smoothies,"Bubble Tea,",,$,Kung Fu Tea,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336586%2C-71.149079&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336586%2C-71.149079&client=gme-yelp&sensor=false&size=315x150&signature=LksOMFfmZ5-7LU75RJev7QlKNys=,https://www.yelp.com/map/kung-fu-tea-brighton,Kung Fu Tea,"1916 Beacon St, Brighton, MA 02135",42.336567,-71.149001,1,rooftop,1916,Beacon St,Brighton,MA,Suffolk County,2135,US,City of Boston
Blossom Bar,https://www.yelp.com/biz/blossom-bar-brookline-8,,"Cocktail Bars,",160 reviews,,295 Washington St,(617) 734-1870,,Chinese,,$$,Blossom Bar,"11:30 am - 2:30 pm,5:00 pm - 10:30 pm","11:30 am - 2:30 pm,5:00 pm - 10:30 pm","11:30 am - 2:30 pm,5:00 pm - 10:30 pm","11:30 am - 2:30 pm,5:00 pm - 10:30 pm","11:30 am - 2:30 pm,5:00 pm - 10:30 pm","11:30 am - 2:30 pm,5:00 pm - 11:30 pm","12:00 pm - 2:30 pm,5:00 pm - 11:30 pm",https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333400%2C-71.119391&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333400%2C-71.119391&client=gme-yelp&sensor=false&size=315x150&signature=FMBxzUANjTkP72Tu7FZAkbIBzu0=,https://www.yelp.com/map/blossom-bar-brookline-8,Blossom Bar,"295 Washington St, Brookline, MA 02445",42.33341,-71.119391,1,rooftop,295,Washington St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Orinoco,https://www.yelp.com/biz/orinoco-brookline,"“Get the beef! 

The beef in the pabellon Criollo had a really well balanced flavor profile and was absolutely delicious. We also really enjoyed the peach jam…” read more","Caribbean,",448 reviews,https://www.yelp.com/biz/orinoco-brookline?hrid=iEt87gp3EcXY0qF2eRbVAw,22 Harvard St,(617) 232-9505,,Venezuelan,Offers takeout and delivery,$$,Orinoco,Closed,"12:00 pm - 2:30 pm,5:30 pm - 10:00 pm","12:00 pm - 2:30 pm,5:30 pm - 10:00 pm","12:00 pm - 2:30 pm,5:30 pm - 11:00 pm","12:00 pm - 2:30 pm,5:30 pm - 11:00 pm","12:00 pm - 2:30 pm,5:30 pm - 11:00 pm","11:00 am - 3:00 pm,5:30 pm - 9:00 pm",https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333819%2C-71.119010&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333819%2C-71.119010&client=gme-yelp&sensor=false&size=315x150&signature=xrpVy3-XQZVazR9OBupb3L2EAFw=,https://www.yelp.com/map/orinoco-brookline,Orinoco,"22 Harvard St, Brookline, MA 02445",42.333835,-71.119106,1,rooftop,22,Harvard St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Dates & Olives,https://www.yelp.com/biz/dates-and-olives-boston-2,“Delicious food and fairly priced. You can customize your meal so every time we're never board with the food.” read more,"Mediterranean,",185 reviews,https://www.yelp.com/biz/dates-and-olives-boston-2?hrid=QvaGFO0BYAWigKhWLVc6gQ,160 Chestnut Hill Ave,(617) 903-3156,Caterers,"Sandwiches,",Offers delivery,$,Dates & Olives,Closed,11:00 am - 9:00 pm,11:00 am - 4:30 pm,Closed,Closed,11:00 am - 9:00 pm,11:00 am - 7:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341472%2C-71.154242&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341472%2C-71.154242&client=gme-yelp&sensor=false&size=315x150&signature=4lw9V0Xr13qKgdidyRSdIDRhVJw=,https://www.yelp.com/map/dates-and-olives-boston-2,Dates & Olives,"160 Chestnut Hill Ave, Boston, MA 02135",42.341467,-71.154331,1,rooftop,160,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Chikchak Food Truck,https://www.yelp.com/biz/chikchak-food-truck-brookline-3,“I'm really upset with myself that I haven't reviewed Chik Chak yet. I come here once a week and am nothing short of addicted. The falafel is arguably the best…” read more,"Food Trucks,",66 reviews,https://www.yelp.com/biz/chikchak-food-truck-brookline-3?hrid=Ko8c5I1eIoxFnKCfd0caAA,,(617) 213-5030,,Middle Eastern,,$$,Chikchak Food Truck,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&language=en&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.329797%2C-71.126868&client=gme-yelp&path=color%3A0x0947a766%7Cweight%3A0%7Cfillcolor%3A0x0947a766%7C42.255459%2C-71.223679%7C42.255459%2C-71.019058%7C42.271720%2C-70.968933%7C42.423963%2C-70.968933%7C42.423963%2C-71.173553%7C42.407742%2C-71.223679%7C42.255459%2C-71.223679&sensor=false&size=315x150&signature=7GvMjyVt7q6nZJJsn-F84XsxXK0=,https://www.yelp.com/map/chikchak-food-truck-brookline-3,Chikchak Food Truck,"Brookline, MA 02445",42.325483,-71.135045,1,place,,,Brookline,MA,Norfolk County,2445,US,TIGER/LineÂ® dataset from the US Census Bureau
Pizza Stop,https://www.yelp.com/biz/pizza-stop-brookline,"“One of our favorite lunch place around. 
I love the buffalo chicken and the Chicken souvlaki sandwich.
Excellent staff and service - they all have heart…” read more",Pizza,51 reviews,https://www.yelp.com/biz/pizza-stop-brookline?hrid=jP4WOm2kdJ3Rdd15miaXlQ,226 Cypress St,(617) 738-7005,,,,$,Pizza Stop,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Closed,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.327484%2C-71.124386&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.327484%2C-71.124386&client=gme-yelp&sensor=false&size=315x150&signature=rYU84JcnIaJ1ztCQyIimtEaNGog=,https://www.yelp.com/map/pizza-stop-brookline,Pizza Stop,"226 Cypress St, Brookline, MA 02445",42.327505,-71.124401,1,rooftop,226,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
CitySide,https://www.yelp.com/biz/cityside-brighton,"“Came here for boozy brunch and cannot wait to come back.

Let me start with this. I love breakfast and everything that goes with it. And let me tell you... I…” read more","Bars,",346 reviews,https://www.yelp.com/biz/cityside-brighton?hrid=tAITresLf7342vJ2czGb9Q,1960 Beacon St,(617) 566-1002,Sandwiches,"Burgers,",,$$,CitySide,11:30 am - 2:00 am,11:30 am - 2:00 am,11:30 am - 2:00 am,11:30 am - 2:00 am,11:30 am - 2:00 am,10:30 am - 2:00 am,10:30 am - 2:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336462%2C-71.150484&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336462%2C-71.150484&client=gme-yelp&sensor=false&size=315x150&signature=_X9xgLNbceaMqQu8aClgngA-Ywk=,https://www.yelp.com/map/cityside-brighton,CitySide,"1960 Beacon St, Brighton, MA 02135",42.336375,-71.150459,1,rooftop,1960,Beacon St,Brighton,MA,Suffolk County,2135,US,City of Boston
Wu Er by WOW Barbecue,https://www.yelp.com/biz/wu-er-by-wow-barbecue-brookline-4,"“OMG! The most authentic Chinese grill fish ever in Boston area!!!! I've tried other places' grill fish and they are not authentic at all. But here in Wu Er,…” read more","Barbeque,",192 reviews,https://www.yelp.com/biz/wu-er-by-wow-barbecue-brookline-4?hrid=D3CBVXo557c8HMnTreiRvg,320 Washington St,(617) 566-8858,Desserts,"Chinese,",Offers takeout and delivery,$$,Wu Er by WOW Barbecue,12:00 pm - 10:30 pm,12:00 pm - 10:30 pm,12:00 pm - 10:30 pm,12:00 pm - 10:30 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,12:00 pm - 10:30 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333207%2C-71.120110&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333207%2C-71.120110&client=gme-yelp&sensor=false&size=315x150&signature=ncU_9ekHxTUxuTQk0OUvh3EfiNA=,https://www.yelp.com/map/wu-er-by-wow-barbecue-brookline-4,Wu Er by WOW Barbecue,"320 Washington St, Brookline, MA 02445",42.333215,-71.12022,1,rooftop,320,Washington St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Yamato Restaurant,https://www.yelp.com/biz/yamato-restaurant-brighton,“Great place to come if you want to stuff yourself with sushi!! Be wary though because you have to pay for what you don't finish wasting. Came here with a group…” read more,"Japanese,",634 reviews,https://www.yelp.com/biz/yamato-restaurant-brighton?hrid=OmionAdgpLK7j0c0Z5kM0w,117 Chiswick Rd,(617) 787-8881,,Sushi Bars,Offers takeout and delivery,$$,Yamato Restaurant,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,12:00 pm - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.340507%2C-71.152069&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.340507%2C-71.152069&client=gme-yelp&sensor=false&size=315x150&signature=_T2pegWao3tfrYZYsza9ZyRXM1Y=,https://www.yelp.com/map/yamato-restaurant-brighton,Yamato Restaurant,"117 Chiswick Rd, Brighton, MA 02135",42.340695,-71.151779,1,rooftop,117,Chiswick Rd,Brighton,MA,Suffolk County,2135,US,City of Boston
Veggie Crust,https://www.yelp.com/biz/veggie-crust-brookline-2,“Manchurian pizza!! I am so glad this place is in Brookline Village. They have a very fun menu with lots of exciting f vegan options. Even omnivores will enjoy…” read more,"Vegetarian,",72 reviews,https://www.yelp.com/biz/veggie-crust-brookline-2?hrid=OWmR7WHR52BFYcC5z-Iwsg,8 Cypress St,(617) 383-5884,Pizza,"Gluten-Free,",,$,Veggie Crust,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.334370%2C-71.123310&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.334370%2C-71.123310&client=gme-yelp&sensor=false&size=315x150&signature=dd2EAbgwisaK2fhHeb9ShDlfNLY=,https://www.yelp.com/map/veggie-crust-brookline-2,Veggie Crust,"8 Cypress St, Brookline, MA 02445",42.334385,-71.123295,1,rooftop,8,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Fuel America,https://www.yelp.com/biz/fuel-america-brighton,“There is a woman behind the counter who has always impressed me with her hospitality. She has short brown hair and typically wears it half-up and is white. I…” read more,"Coffee & Tea,",242 reviews,https://www.yelp.com/biz/fuel-america-brighton?hrid=1dHNJud2e1n_qT7Db2mRAw,152 Chestnut Hill Ave,(617) 782-0999,Sandwiches,"Juice Bars & Smoothies,",,$$,Fuel America,7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 8:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341623%2C-71.154239&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341623%2C-71.154239&client=gme-yelp&sensor=false&size=315x150&signature=n3owcOJ-kmqx0wrYfI6ReoJVZVY=,https://www.yelp.com/map/fuel-america-brighton,Fuel America,"152 Chestnut Hill Ave, Brighton, MA 02135",42.34145,-71.15433,1,rooftop,152,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,City of Boston
Zaaki Food Truck,https://www.yelp.com/biz/zaaki-food-truck-brookline,“Amazing! Ordered the original koshari and it was excellent. Came with a side of hummus and yogurt. Very tasty and flavorful. Definitely coming back for more…” read more,"Egyptian,",12 reviews,https://www.yelp.com/biz/zaaki-food-truck-brookline?hrid=n7zsShjZmnO8bykHAsvM9g,374 Boylston St,(857) 361-9660,,Caterers,,$,Zaaki Food Truck,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:30 pm,Closed,Closed,,,,"374 Boylston St, Brookline, MA 02445",42.329727,-71.126899,1,rooftop,374,Boylston St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Vaisakhi Indian Kitchen,https://www.yelp.com/biz/vaisakhi-indian-kitchen-boston-2,"“I haven't had much Indian food before so I wasn't sure what to expect eating at Vaisakhi. The food here is honestly really good, especially if you like your…” read more",Indian,85 reviews,https://www.yelp.com/biz/vaisakhi-indian-kitchen-boston-2?hrid=Xgu9zFk9b8iVkQRHDYHftg,157 Sutherland Rd,(617) 505-5932,,,Offers takeout and delivery,$$,Vaisakhi Indian Kitchen,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341073%2C-71.146821&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341073%2C-71.146821&client=gme-yelp&sensor=false&size=315x150&signature=8MjUzYGFPsN87YPEn8dn-bT5E_Q=,https://www.yelp.com/map/vaisakhi-indian-kitchen-boston-2,Vaisakhi Indian Kitchen,"157 Sutherland Rd, Boston, MA 02135",42.341091,-71.146839,1,rooftop,157,Sutherland Rd,Brighton,MA,Suffolk County,2135,US,City of Boston
Aquitaine Chestnut Hill,https://www.yelp.com/biz/aquitaine-chestnut-hill-chestnut-hill-2,"“Stopped in for an early dinner Saturday with a group of 5, friends visiting from VA/DC.  We were greeted with a warm welcome and the hostess sat us near the…” read more","French,",202 reviews,https://www.yelp.com/biz/aquitaine-chestnut-hill-chestnut-hill-2?hrid=Bedbex1_39XlTkGLiO_fNg,,(617) 734-8400,Modern European,"Bars,",,$$$,Aquitaine Chestnut Hill,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.323422%2C-71.166449&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.323422%2C-71.166449&client=gme-yelp&sensor=false&size=315x150&signature=f-_q02PB6iFiblvECNT-RsA5UeA=,https://www.yelp.com/map/aquitaine-chestnut-hill-chestnut-hill-2,Aquitaine Chestnut Hill,"11 Boylston St, Chestnut Hill, MA 02467",42.323445,-71.166464,1,rooftop,11,Boylston St,Chestnut Hill,MA,Middlesex County,2467,US,Town of Newton
Virginia’s Fine Foods,https://www.yelp.com/biz/virginias-fine-foods-brookline-2,"“Agree with all the great reviews. Did not experience any of the bad. Great sandwich, fresh, good amount of food, reasonable price. The gentleman was friendly…” read more","Delis,",87 reviews,https://www.yelp.com/biz/virginias-fine-foods-brookline-2?hrid=g7B_mhoZNbTFgQNqsytEfQ,8A Cypress St,(617) 566-7775,Breakfast & Brunch,"Sandwiches,",,$,Virginia's Fine Foods,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,8:00 am - 5:00 pm,Closed,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.334371%2C-71.123341&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.334371%2C-71.123341&client=gme-yelp&sensor=false&size=315x150&signature=CWZh3hs8KE5UBmpmCRp9BOS018A=,https://www.yelp.com/map/virginias-fine-foods-brookline-2,Virginia’s Fine Foods,"8A Cypress St, Brookline, MA 02445",42.334385,-71.123295,1,rooftop,8,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
