resturaunt,Title_link,top_review,description_1,num_reviews,lemon--li__373c0__1r9wz5,street_address,phone,food_type,description_2,extras,price,Headline,Mon_hrs,Tues_hrs,Wed_hrs,Thu_hrs,Fri_hrs,Sat_hrs,Sun_hrs,Field1,Field1_link,Headline1,full_address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Brothers & Sisters Co Coffeehouse + Cafe,https://www.yelp.com/biz/brothers-and-sisters-co-coffeehouse-cafe-brookline,“I love this space. Nice ambiance and the baked good are delicious! First time in Brookline Village and found this gem. Will definitely make my way back here in…” read more,"Coffee & Tea,",221 reviews,https://www.yelp.com/biz/brothers-and-sisters-co-coffeehouse-cafe-brookline?hrid=2Wlja5w36XGig2njfZ4voA,7 Station St,(617) 730-5525,Breakfast & Brunch,"Bagels,",,$,Brothers & Sisters Co Coffeehouse + Cafe,7:00 am - 6:00 pm,7:00 am - 6:00 pm,7:00 am - 6:00 pm,7:00 am - 6:00 pm,7:00 am - 6:00 pm,8:00 am - 5:00 pm,9:00 am - 4:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.332594%2C-71.117917&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.332594%2C-71.117917&client=gme-yelp&sensor=false&size=315x150&signature=_3D1rqnZri_TYnnW9CggAC5wa2o=,https://www.yelp.com/map/brothers-and-sisters-co-coffeehouse-cafe-brookline,Brothers & Sisters Co Coffeehouse + Cafe,"7 Station St, Brookline, MA 02445",42.332616,-71.11793,1,rooftop,7,Station St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Golden Temple,https://www.yelp.com/biz/golden-temple-brookline,"“I sat at bar.
Good size martinis., which is what I wanted.
If you talk, the people at the bar are friendly. Don't wait, no one will chat with you. Unless you…” read more",Chinese,510 reviews,https://www.yelp.com/biz/golden-temple-brookline?hrid=sDBiR713Oy-HQgVouig2IA,1651 Beacon St,(617) 277-9722,,,Offers takeout and delivery,$$,Golden Temple,4:00 pm - 1:00 am,4:00 pm - 1:00 am,4:00 pm - 1:00 am,4:00 pm - 1:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 1:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338819%2C-71.136215&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338819%2C-71.136215&client=gme-yelp&sensor=false&size=315x150&signature=hMCTWiqzX0P89G3kFda1Qm2HMME=,https://www.yelp.com/map/golden-temple-brookline,Golden Temple,"1651 Beacon St, Brookline, MA 02445",42.338743,-71.136181,1,rooftop,1651,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Pon Thai Bistro,https://www.yelp.com/biz/pon-thai-bistro-brookline,"“First time here and the food was delightful. My wife and I are trying to incorporate more vegetarian meals in our diet so we ordered:

Spicy Tofu Eggplant -…” read more",Thai,150 reviews,https://www.yelp.com/biz/pon-thai-bistro-brookline?hrid=El852jMjbofIbWdd6h9MjA,213 Washington St,(617) 608-3593,,,Offers reservations,$$,Pon Thai Bistro,"11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:30 pm","12:00 pm - 3:00 pm,4:30 pm - 10:30 pm","12:00 pm - 3:00 pm,4:30 pm - 10:00 pm",https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.332514%2C-71.118249&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.332514%2C-71.118249&client=gme-yelp&sensor=false&size=315x150&signature=7ZK3_uZohRmTVLfSzXzNwzXXoWQ=,https://www.yelp.com/map/pon-thai-bistro-brookline,Pon Thai Bistro,"213 Washington St, Brookline, MA 02445",42.332549,-71.118185,1,rooftop,213,Washington St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Grassona’s Italian,https://www.yelp.com/biz/grassonas-italian-brookline,"“Wow, what a fantastic restaurant! We sat down originally just for drinks as we waited for a table at a different restaurant, but after seeing the menu and…” read more",Italian,72 reviews,https://www.yelp.com/biz/grassonas-italian-brookline?hrid=vG0hB4E_04GD_lRaH4Rmng,1704 Beacon St,(617) 396-8752,,,Offers takeout and delivery,$$,Grassona's Italian,Closed,5:00 pm - 12:00 am,5:00 pm - 12:00 am,5:00 pm - 12:00 am,5:00 pm - 12:00 am,5:00 pm - 12:00 am,4:00 pm - 12:00 am,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.338839%2C-71.138891&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.338839%2C-71.138891&client=gme-yelp&sensor=false&size=315x150&signature=Om2OpShFmDra_yQnItqJJe3Uk0Q=,https://www.yelp.com/map/grassonas-italian-brookline,Grassona’s Italian,"1704 Beacon St, Brookline, MA 02445",42.338814,-71.139034,1,rooftop,1704,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Amelia’s Taqueria,https://www.yelp.com/biz/amelias-taqueria-brighton,"“We just moved to the neighborhood, and wanted to try the local taqueria. I was very pleasantly surprised by everything at this location, so much so that we…” read more",Mexican,59 reviews,https://www.yelp.com/biz/amelias-taqueria-brighton?hrid=0-9Pnr0AWoTqsHIWDH8hhA,1936 Beacon St,(617) 505-6232,,,Offers takeout and delivery,$,Amelia's Taqueria,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.336361%2C-71.149991&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.336361%2C-71.149991&client=gme-yelp&sensor=false&size=315x150&signature=EBITVjnYFcDSW1KBJkxbAJk7NIA=,https://www.yelp.com/map/amelias-taqueria-brighton,Amelia’s Taqueria,"1936 Beacon St, Brighton, MA 02135",42.336353,-71.149932,1,rooftop,1936,Beacon St,Brighton,MA,Suffolk County,2135,US,City of Boston
Gyro City,https://www.yelp.com/biz/gyro-city-boston-2,"“This is my favorite Gyro in Boston. I stop by their Chestnut Hill ave location in Brighton at least once a week for my fix. 

Peter and the team behind the…” read more",Greek,97 reviews,https://www.yelp.com/biz/gyro-city-boston-2?hrid=si0MKqT5g_x8XUXfazDjXA,181 Chestnut Hill Ave,(617) 903-4248,,,Offers takeout and delivery,$$,Gyro City,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341776%2C-71.154451&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341776%2C-71.154451&client=gme-yelp&sensor=false&size=315x150&signature=IltmBGsArZL8dy3x903C5wf_XEc=,https://www.yelp.com/map/gyro-city-boston-2,Gyro City,"181 Chestnut Hill Ave, Boston, MA 02135",42.341827,-71.154611,1,rooftop,181,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
Matt Murphy’s Pub,https://www.yelp.com/biz/matt-murphys-pub-brookline-2,"“I have to say, as someone who didn't know about this ""free oysters on Mondays"" business, I was sooo confused when the waitress dropped off a half dozen oysters…” read more",Irish Pub,357 reviews,https://www.yelp.com/biz/matt-murphys-pub-brookline-2?hrid=YRngAuBJcAF7_HaI4a4Yiw,14 Harvard St,(617) 232-0188,,,,$$,Matt Murphy's Pub,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:00 am - 11:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333307%2C-71.118917&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333307%2C-71.118917&client=gme-yelp&sensor=false&size=315x150&signature=RARvkIfgbXIvnCNPG2-IvJues74=,https://www.yelp.com/map/matt-murphys-pub-brookline-2,Matt Murphy’s Pub,"14 Harvard St, Brookline, MA 02445",42.333668,-71.119087,1,rooftop,14,Harvard St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Moogy’s Restaurant,https://www.yelp.com/biz/moogys-restaurant-brighton,“Walking in you might think this place might not have good food.  You couldn't be more wrong!  The food was outstanding.  They even had gluten free options!…” read more,"Sandwiches,",185 reviews,https://www.yelp.com/biz/moogys-restaurant-brighton?hrid=KqAxdN_h1TOJsOrDMmFSlQ,154 Chestnut Hill Ave,(617) 254-8114,Hot Dogs,"Breakfast & Brunch,",,$,Moogy's Restaurant,5:00 pm - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341587%2C-71.154318&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341587%2C-71.154318&client=gme-yelp&sensor=false&size=315x150&signature=IZXydlVYMuCjaO9jSiPuNY9rOxE=,https://www.yelp.com/map/moogys-restaurant-brighton,Moogy’s Restaurant,"154 Chestnut Hill Ave, Brighton, MA 02135",42.341553,-71.154279,1,rooftop,154,Chestnut Hill Ave,Brighton,MA,Suffolk County,2135,US,City of Boston
Dolce Vita Cafe,https://www.yelp.com/biz/dolce-vita-cafe-brighton,“I so love small neighborhood business. My son took me for breakfast here. He told me they opened around 2011. It was his go to spot for his breakfast…” read more,"Coffee & Tea,",90 reviews,https://www.yelp.com/biz/dolce-vita-cafe-brighton?hrid=7-emGVE7TvqMhoudx2c6yQ,1698 Commonwealth Ave,(617) 232-2380,Juice Bars & Smoothies,"Bagels,",Offers delivery,$,Dolce Vita Cafe,6:00 am - 4:00 pm,6:00 am - 4:00 pm,6:00 am - 4:00 pm,6:00 am - 4:00 pm,6:00 am - 4:00 pm,7:00 am - 4:00 pm,7:00 am - 2:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341243%2C-71.146600&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341243%2C-71.146600&client=gme-yelp&sensor=false&size=315x150&signature=16QUxKEi-LUAd9pLmgr__WCz3Yg=,https://www.yelp.com/map/dolce-vita-cafe-brighton,Dolce Vita Cafe,"1698 Commonwealth Ave, Brighton, MA 02135",42.341248,-71.146504,1,rooftop,1698,Commonwealth Ave,Brighton,MA,Suffolk County,2135,US,City of Boston
Migaku,https://www.yelp.com/biz/migaku-brookline,,Ramen,52 reviews,,238 Washington St,(617) 608-3141,,,,$$,Migaku,"11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm","11:30 am - 3:30 pm,5:00 pm - 9:00 pm",https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.332697%2C-71.118878&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.332697%2C-71.118878&client=gme-yelp&sensor=false&size=315x150&signature=A7UHbi_kJJOdJJtVsvYEU9C-XSg=,https://www.yelp.com/map/migaku-brookline,Migaku,"238 Washington St, Brookline, MA 02445",42.332675,-71.118886,1,rooftop,238,Washington St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Zinneken’s Belgian Waffles - Harvard Square,https://www.yelp.com/biz/zinnekens-belgian-waffles-harvard-square-cambridge,"“The perfect place for dessert on a cold winter's night. Warm and cozy, with down-to-earth and unpretentious vibes. And yes -- the waffles are delicious too.…” read more","Bakeries,",482 reviews,https://www.yelp.com/biz/zinnekens-belgian-waffles-harvard-square-cambridge?hrid=TUbjtaYmOcbs8UU39WqR5w,,(617) 876-0836,Food Trucks,"Waffles,",Offers takeout and delivery,$,Zinneken's Belgian Waffles - Harvard Square,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 12:00 am,9:00 am - 12:00 am,9:00 am - 9:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&language=en&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.371215%2C-71.114561&client=gme-yelp&path=color%3A0x0947a766%7Cweight%3A0%7Cfillcolor%3A0x0947a766%7C42.354200%2C-71.146569%7C42.307332%2C-71.125447%7C42.307332%2C-71.017323%7C42.388236%2C-71.017323%7C42.394178%2C-71.075712%7C42.394178%2C-71.146569%7C42.354200%2C-71.146569&sensor=false&size=315x150&signature=xEd7KJgQn-r3awNwExZ6eHEOtLk=,https://www.yelp.com/map/zinnekens-belgian-waffles-harvard-square-cambridge,Zinneken’s Belgian Waffles - Harvard Square,"1154 Massachusetts Ave, Cambridge, MA 02138",42.371204,-71.114497,1,rooftop,1154,Massachusetts Ave,Cambridge,MA,Middlesex County,2138,US,City of Cambridge
Pomodoro,https://www.yelp.com/biz/pomodoro-brookline,"“Fish stew is top notch

Great pastas

Cash only 

Will accommodate kids but no high chairs. 

Service is always great” read more",Italian,239 reviews,https://www.yelp.com/biz/pomodoro-brookline?hrid=7S83Y5GXSMYL1_F6yMqIew,24 Harvard St,(617) 566-4455,,,,$$$,Pomodoro,,,,,,,,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.333885%2C-71.119158&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.333885%2C-71.119158&client=gme-yelp&sensor=false&size=315x150&signature=RNqipb3UitGvBAGURQaOXnycXac=,https://www.yelp.com/map/pomodoro-brookline,Pomodoro,"24 Harvard St, Brookline, MA 02445",42.333882,-71.119117,1,rooftop,24,Harvard St,Brookline,MA,Norfolk County,2445,US,City of Brookline
New Paris Bakery & Candy Shop,https://www.yelp.com/biz/new-paris-bakery-and-candy-shop-brookline,“I have been coming here since I was a kid and my 89 year old mom grew up stopping for treats after school  Fabulous eclairs and delicious/addictive cookies!” read more,"Bakeries,",54 reviews,https://www.yelp.com/biz/new-paris-bakery-and-candy-shop-brookline?hrid=Rxi4e6HduCOpqhQNJZMRTw,10 Cypress St,(617) 566-0929,,Candy Stores,,$,New Paris Bakery & Candy Shop,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 5:00 pm,Closed,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.334340%2C-71.123348&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.334340%2C-71.123348&client=gme-yelp&sensor=false&size=315x150&signature=Ez4milI4eMKTe0GJ9RUvnLAm174=,https://www.yelp.com/map/new-paris-bakery-and-candy-shop-brookline,New Paris Bakery & Candy Shop,"10 Cypress St, Brookline, MA 02445",42.334345,-71.123356,1,rooftop,10,Cypress St,Brookline,MA,Norfolk County,2445,US,City of Brookline
When Pigs Fly,https://www.yelp.com/biz/when-pigs-fly-brookline,"“I love their bread! A $6 loaf goes a long way (with a student discount, it comes to $5.40 I believe)--most of their bread I tried tended to be very heavy and…” read more",Bakeries,117 reviews,https://www.yelp.com/biz/when-pigs-fly-brookline?hrid=3LJhDVkeYbit8aZVU4H6gg,1378A Beacon St,(617) 232-1077,,,,$$,When Pigs Fly,10:00 am - 7:30 pm,10:00 am - 7:30 pm,10:00 am - 7:30 pm,10:00 am - 7:30 pm,10:00 am - 7:30 pm,10:00 am - 7:30 pm,10:00 am - 7:30 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341734%2C-71.123777&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341734%2C-71.123777&client=gme-yelp&sensor=false&size=315x150&signature=8GD97Ssk4ORc83lp5Oy0rmfC8tU=,https://www.yelp.com/map/when-pigs-fly-brookline,When Pigs Fly,"1378A Beacon St, Brookline, MA 02446",42.341816,-71.123788,1,rooftop,1378,Beacon St,Brookline,MA,Norfolk County,2446,US,City of Brookline
Mei Mei Street Kitchen,https://www.yelp.com/biz/mei-mei-street-kitchen-boston-4,"“Fast-casual service with the restaurant-next-door hospitality and James Beard (nominated) quality food.
I've been to Mei Mei for lunch, for dumpling class, for…” read more","Caterers,",194 reviews,https://www.yelp.com/biz/mei-mei-street-kitchen-boston-4?hrid=3FjN_h6ZitEwNo8_VivmpQ,506 Park Dr,(857) 250-4959,Asian Fusion,"Food Trucks,",,$,Mei Mei Street Kitchen,Closed,11:30 am - 2:30 pm,11:30 am - 2:30 pm,11:30 am - 2:30 pm,11:30 am - 2:30 pm,Closed,Closed,,,,"506 Park Dr, Boston, MA 02215",42.347669,-71.105948,1,rooftop,506,Park Dr,Boston,MA,Suffolk County,2215,US,City of Boston
El Pelon Taqueria,https://www.yelp.com/biz/el-pelon-taqueria-brighton,"“Best tacos, burritos, really anything offered on the menu is done better here than anywhere you will find in downtown Boston.” read more",Mexican,418 reviews,https://www.yelp.com/biz/el-pelon-taqueria-brighton?hrid=9it8w1yTlz1mrXFe8V0q4g,2197 Commonwealth Ave,(617) 779-9090,,,Offers delivery,$,El Pelon Taqueria,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.340269%2C-71.166394&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.340269%2C-71.166394&client=gme-yelp&sensor=false&size=315x150&signature=RsYiIEFFlhIc_JkB0cSwtaSkKEk=,https://www.yelp.com/map/el-pelon-taqueria-brighton,El Pelon Taqueria,"2197 Commonwealth Ave, Brighton, MA 02135",42.340244,-71.166502,1,rooftop,2197,Commonwealth Ave,Brighton,MA,Suffolk County,2135,US,City of Boston
Rod D By Sitti,https://www.yelp.com/biz/rod-d-by-sitti-brookline,"“I haven't been to Rod Dee since they closed 2 of their stores and brought new management to this one, so I was worried things would be different. I've never…” read more","Thai,",101 reviews,https://www.yelp.com/biz/rod-d-by-sitti-brookline?hrid=IaDOifQ4Ju4UlZtxh5S1jQ,1422-1424 Beacon St,(617) 738-4977,Noodles,"Coffee & Tea,",Offers takeout and delivery,$,Rod D By Sitti,"11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm",11:30 am - 10:00 pm,12:00 pm - 10:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341075%2C-71.126458&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341075%2C-71.126458&client=gme-yelp&sensor=false&size=315x150&signature=l3wAb5MMlhKERUJh75ha4Kv-riU=,https://www.yelp.com/map/rod-d-by-sitti-brookline,Rod D By Sitti,"1422-1424 Beacon St, Brookline, MA 02446",42.34115,-71.126281,1,rooftop,1424,Beacon St,Brookline,MA,Norfolk County,2446,US,City of Brookline
Café Fixe,https://www.yelp.com/biz/caf%C3%A9-fixe-brookline-3,“I live in the San Francisco area and take my espresso very seriously. I LOVE the coffee at Cafe Fixe! It's tied for my all time favorite in the U.S. with…” read more,Coffee & Tea,322 reviews,https://www.yelp.com/biz/caf%C3%A9-fixe-brookline-3?hrid=C3GerNSJK8RS7U8e7pCx4g,1642 Beacon St,(617) 879-2500,,,,$$,Café Fixe,6:30 am - 6:00 pm,6:30 am - 6:00 pm,6:30 am - 6:00 pm,6:30 am - 6:00 pm,6:30 am - 6:00 pm,7:30 am - 6:00 pm,7:30 am - 6:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.339395%2C-71.136261&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.339395%2C-71.136261&client=gme-yelp&sensor=false&size=315x150&signature=RvjSAwDcxddmZXcuLV5hpKAvFQE=,https://www.yelp.com/map/caf%C3%A9-fixe-brookline-3,Café Fixe,"1642 Beacon St, Brookline, MA 02445",42.339445,-71.136299,1,rooftop,1642,Beacon St,Brookline,MA,Norfolk County,2445,US,City of Brookline
Michael’s Deli,https://www.yelp.com/biz/michaels-deli-brookline,"“Yum! Delicious pastrami sandwich with coleslaw on bulky roll!  I hadn't had one of these for years because sadly, there are very few real Jewish delicatessens…” read more","Delis,",428 reviews,https://www.yelp.com/biz/michaels-deli-brookline?hrid=leUelkq-sxS-59G8sVisSw,256 Harvard St,(617) 738-3354,Bagels,"Sandwiches,",,$$,Michael's Deli,9:00 am - 5:30 pm,9:00 am - 5:30 pm,9:00 am - 5:30 pm,9:00 am - 5:30 pm,9:00 am - 5:30 pm,9:00 am - 5:30 pm,9:00 am - 3:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.341598%2C-71.121215&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.341598%2C-71.121215&client=gme-yelp&sensor=false&size=315x150&signature=IdHGtYMJkH53yv68Xt8SfkpUZiA=,https://www.yelp.com/map/michaels-deli-brookline,Michael’s Deli,"256 Harvard St, Brookline, MA 02446",42.341594,-71.121291,1,rooftop,256,Harvard St,Brookline,MA,Norfolk County,2446,US,City of Brookline
Party Favors,https://www.yelp.com/biz/party-favors-brookline,“Would highly recommend! Not only are their cakes fabulous creations but they taste fantastic too! John has been a pleasure to work with in designing my son's…” read more,"Party Supplies,",303 reviews,https://www.yelp.com/biz/party-favors-brookline?hrid=VTAmlIu1sPSw2xGBpawNjA,1356 Beacon St,(617) 566-3330,Custom Cakes,"Desserts,",Offers takeout and delivery,$$,Party Favors,9:30 am - 7:00 pm,9:30 am - 7:00 pm,9:30 am - 7:00 pm,9:30 am - 7:00 pm,9:30 am - 7:00 pm,9:30 am - 5:30 pm,12:00 pm - 5:00 pm,https://maps.googleapis.com/maps/api/staticmap?scale=1&center=42.342029%2C-71.122849&language=en&zoom=15&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C42.342029%2C-71.122849&client=gme-yelp&sensor=false&size=315x150&signature=Mee1phIzM4OTWPv802TQWlbDC6k=,https://www.yelp.com/map/party-favors-brookline,Party Favors,"1356 Beacon St, Brookline, MA 02446",42.342062,-71.122767,1,rooftop,1356,Beacon St,Brookline,MA,Norfolk County,2446,US,City of Brookline
